板块类型,板块名称,板块代码,开始日期,结束日期,股票数量,股票列表
概念板块,通达信88,880515,2005-06-07,2025-05-13,88,"0000025,0000100,0000538,0000708,0000725,0000786,0000792,0000795,0000895,0001979,0002027,0002078,0002179,0002230,0002266,0002371,0002415,0002475,0002517,0002558,0002595,0002607,0002648,0002714,0300033,0300059,0300124,0300144,0300274,0300308,0300433,0300498,0300502,0300699,0300750,0300760,0300979,0301004,1600018,1600036,1600150,1600233,1600258,1600276,1600309,1600323,1600406,1600415,1600436,1600461,1600519,1600570,1600611,1600660,1600710,1600760,1600809,1600895,1600900,1600901,1600968,1600989,1600999,1601098,1601127,1601225,1601288,1601336,1601360,1601390,1601668,1601728,1601766,1601899,1601919,1603195,1603259,1603298,1603501,1603568,1603605,1603699,1603993,1605090,1605499,1688036,1688041,1688111"
概念板块,海峡西岸,880513,2005-06-07,2025-12-29,165,"0000526,0000536,0000547,0000592,0000632,0000663,0000701,0000753,0000797,0000905,0000993,0000997,0001368,0001979,0002029,0002093,0002098,0002102,0002110,0002217,0002222,0002228,0002229,0002235,0002264,0002300,0002335,0002396,0002398,0002474,0002512,0002517,0002529,0002578,0002593,0002614,0002626,0002639,0002674,0002679,0002682,0002702,0002729,0002752,0002757,0002785,0002788,0002790,0002803,0002901,0002925,0002961,0002969,0003016,0003019,0300051,0300056,0300062,0300096,0300102,0300132,0300174,0300188,0300198,0300299,0300300,0300341,0300427,0300436,0300525,0300560,0300605,0300628,0300632,0300640,0300648,0300650,0300657,0300658,0300685,0300712,0300750,0300867,0300884,0300902,0300941,0300946,0300955,0300972,0301028,0301136,0301148,0301165,0301196,0301267,0301565,1600033,1600057,1600067,1600103,1600153,1600163,1600203,1600388,1600436,1600483,1600493,1600549,1600563,1600573,1600592,1600660,1600686,1600693,1600711,1600734,1600753,1600755,1600802,1600815,1600897,1601166,1601187,1601377,1601566,1601933,1603122,1603162,1603180,1603209,1603280,1603306,1603345,1603363,1603383,1603408,1603444,1603615,1603628,1603636,1603678,1603686,1603696,1603737,1603817,1603826,1603893,1603909,1603933,1603992,1605086,1605118,1605299,1605365,1688010,1688095,1688195,1688196,1688278,1688619,1688778,2920445,2920571,2920706,2920748"
概念板块,海南自贸,880567,2012-08-31,2025-11-10,47,"0000099,0000503,0000505,0000537,0000566,0000567,0000571,0000572,0000615,0000657,0000691,0000735,0000793,0000796,0000886,0000955,0002065,0002159,0002163,0002320,0002431,0002596,0002693,0002696,0002865,0300086,0300144,0300189,0300324,0300599,1600157,1600179,1600221,1600238,1600259,1600515,1600684,1600738,1600759,1601118,1601888,1601969,1603069,1603300,1603729,1605199,1688676"
概念板块,一带一路,880594,2013-09-12,2026-01-13,739,"0000008,0000009,0000011,0000012,0000019,0000035,0000039,0000055,0000065,0000070,0000151,0000157,0000159,0000333,0000400,0000425,0000498,0000501,0000505,0000506,0000507,0000520,0000521,0000528,0000551,0000557,0000582,0000589,0000599,0000610,0000617,0000619,0000625,0000672,0000680,0000701,0000703,0000711,0000716,0000719,0000726,0000727,0000755,0000758,0000759,0000777,0000779,0000797,0000825,0000829,0000837,0000852,0000859,0000863,0000875,0000877,0000881,0000901,0000905,0000925,0000927,0000928,0000969,0001202,0001206,0001213,0001222,0001225,0001227,0001233,0001280,0001288,0001289,0001308,0001313,0001317,0001319,0001326,0001335,0001360,0001368,0001389,0001391,0001872,0002010,0002016,0002017,0002021,0002026,0002032,0002036,0002037,0002047,0002048,0002050,0002051,0002057,0002060,0002061,0002067,0002073,0002078,0002081,0002083,0002084,0002091,0002092,0002094,0002097,0002103,0002104,0002116,0002121,0002123,0002129,0002131,0002135,0002140,0002146,0002150,0002183,0002196,0002204,0002206,0002212,0002226,0002232,0002245,0002266,0002271,0002278,0002282,0002302,0002303,0002307,0002309,0002314,0002323,0002328,0002329,0002340,0002342,0002353,0002358,0002365,0002367,0002372,0002373,0002380,0002383,0002394,0002398,0002404,0002426,0002430,0002438,0002454,0002459,0002467,0002469,0002478,0002480,0002481,0002483,0002489,0002493,0002498,0002512,0002514,0002520,0002523,0002534,0002536,0002542,0002543,0002544,0002545,0002554,0002560,0002564,0002565,0002571,0002578,0002583,0002593,0002596,0002606,0002611,0002613,0002615,0002623,0002630,0002635,0002637,0002639,0002642,0002654,0002668,0002682,0002685,0002696,0002701,0002707,0002717,0002725,0002733,0002738,0002742,0002761,0002769,0002774,0002775,0002785,0002792,0002796,0002800,0002803,0002810,0002811,0002815,0002828,0002843,0002851,0002859,0002871,0002889,0002902,0002906,0002909,0002917,0002922,0002929,0002937,0002941,0002948,0002949,0002972,0002975,0002976,0002984,0002990,0002993,0003000,0003001,0003002,0003013,0003037,0003041,0003816,0300004,0300008,0300011,0300017,0300021,0300022,0300062,0300070,0300087,0300092,0300095,0300103,0300135,0300136,0300139,0300153,0300157,0300164,0300172,0300177,0300180,0300195,0300197,0300198,0300207,0300212,0300213,0300230,0300240,0300244,0300284,0300293,0300296,0300350,0300351,0300355,0300360,0300365,0300370,0300374,0300403,0300407,0300435,0300444,0300466,0300471,0300472,0300480,0300490,0300499,0300505,0300511,0300517,0300523,0300532,0300542,0300546,0300560,0300589,0300594,0300597,0300602,0300603,0300607,0300620,0300632,0300647,0300660,0300665,0300676,0300684,0300698,0300703,0300712,0300732,0300735,0300738,0300741,0300787,0300789,0300793,0300797,0300808,0300809,0300814,0300815,0300818,0300823,0300827,0300828,0300845,0300846,0300851,0300852,0300853,0300865,0300870,0300873,0300885,0300893,0300902,0300921,0300923,0300925,0300931,0300935,0300948,0300953,0300968,0300971,0300975,0300980,0300986,0300988,0300989,0300995,0301016,0301027,0301032,0301048,0301053,0301056,0301057,0301058,0301061,0301079,0301085,0301100,0301109,0301115,0301118,0301137,0301141,0301156,0301158,0301165,0301169,0301175,0301182,0301187,0301193,0301216,0301218,0301219,0301220,0301251,0301318,0301323,0301335,0301355,0301383,0301387,0301398,0301439,0301489,0301501,0301503,0301526,0301533,0301538,0301559,0301575,0301622,0301665,1600010,1600017,1600018,1600019,1600021,1600023,1600026,1600028,1600031,1600039,1600050,1600057,1600058,1600072,1600075,1600089,1600103,1600104,1600105,1600118,1600125,1600138,1600148,1600150,1600153,1600169,1600170,1600176,1600179,1600180,1600198,1600202,1600212,1600219,1600232,1600248,1600256,1600278,1600279,1600282,1600287,1600308,1600312,1600313,1600320,1600326,1600335,1600336,1600338,1600339,1600350,1600361,1600362,1600406,1600410,1600415,1600425,1600428,1600439,1600468,1600475,1600477,1600487,1600490,1600495,1600496,1600498,1600499,1600500,1600502,1600509,1600510,1600512,1600522,1600528,1600540,1600545,1600567,1600580,1600581,1600583,1600585,1600586,1600590,1600603,1600619,1600629,1600630,1600691,1600704,1600706,1600710,1600717,1600720,1600751,1600755,1600759,1600778,1600787,1600790,1600798,1600801,1600815,1600820,1600853,1600861,1600869,1600871,1600875,1600888,1600928,1600938,1600939,1600969,1600970,1600981,1600983,1600984,1601008,1601018,1601020,1601022,1601061,1601068,1601083,1601106,1601117,1601137,1601156,1601179,1601186,1601226,1601228,1601231,1601298,1601311,1601326,1601369,1601390,1601399,1601500,1601512,1601598,1601599,1601608,1601611,1601618,1601668,1601669,1601698,1601700,1601727,1601766,1601798,1601800,1601808,1601857,1601865,1601866,1601868,1601872,1601877,1601880,1601886,1601888,1601899,1601919,1601949,1601968,1601985,1601992,1603013,1603014,1603017,1603030,1603036,1603055,1603057,1603066,1603073,1603077,1603081,1603083,1603098,1603106,1603107,1603109,1603111,1603126,1603128,1603150,1603153,1603161,1603162,1603163,1603169,1603173,1603175,1603177,1603180,1603191,1603209,1603215,1603218,1603220,1603232,1603257,1603269,1603278,1603280,1603291,1603298,1603308,1603318,1603319,1603322,1603329,1603333,1603338,1603341,1603357,1603359,1603396,1603406,1603408,1603458,1603507,1603530,1603536,1603556,1603568,1603569,1603583,1603588,1603600,1603612,1603616,1603619,1603639,1603648,1603661,1603665,1603680,1603681,1603699,1603712,1603727,1603759,1603815,1603836,1603843,1603856,1603861,1603871,1603897,1603906,1603908,1603966,1603967,1603969,1603970,1603979,1605001,1605020,1605080,1605138,1605155,1605158,1605167,1605183,1605196,1605208,1605365,1605577,1605598,1688022,1688055,1688097,1688125,1688128,1688155,1688187,1688285,1688289,1688305,1688334,1688355,1688371,1688408,1688418,1688425,1688459,1688472,1688569,1688585,1688599,1688618,1688633,1688777,1688793,2920007,2920029,2920046,2920099,2920108,2920128,2920158,2920174,2920185,2920195,2920208,2920212,2920242,2920249,2920339,2920351,2920496,2920541,2920641,2920694,2920706,2920807,2920856,2920873,2920892,2920957"
概念板块,上海自贸,880591,2013-08-28,2025-07-07,84,"0000571,0000739,0000981,0002044,0002183,0002210,0002269,0002401,0300226,0300240,0300642,0300899,0300999,0301024,1600009,1600018,1600026,1600061,1600097,1600115,1600119,1600151,1600170,1600272,1600278,1600284,1600611,1600619,1600621,1600626,1600628,1600630,1600637,1600639,1600643,1600648,1600650,1600655,1600663,1600676,1600679,1600689,1600708,1600732,1600748,1600754,1600818,1600819,1600822,1600826,1600848,1600895,1601083,1601211,1601607,1601866,1601872,1603009,1603128,1603296,1603329,1603499,1603565,1603648,1603659,1603713,1603729,1603730,1603918,1688063,1688099,1688118,1688123,1688180,1688238,1688336,1688368,1688521,1688591,1688653,1688680,1688691,1688981,2920139"
概念板块,雄安新区,880911,2014-04-03,2025-12-02,224,"0000012,0000062,0000088,0000158,0000401,0000415,0000558,0000590,0000593,0000599,0000600,0000605,0000615,0000652,0000680,0000709,0000711,0000736,0000778,0000786,0000826,0000848,0000852,0000856,0000859,0000881,0000897,0000923,0000931,0000937,0000958,0000959,0000965,0000990,0001979,0002010,0002011,0002065,0002090,0002108,0002135,0002146,0002158,0002186,0002204,0002205,0002212,0002271,0002279,0002282,0002302,0002305,0002310,0002331,0002342,0002350,0002373,0002392,0002398,0002410,0002421,0002431,0002442,0002457,0002459,0002494,0002542,0002567,0002573,0002580,0002586,0002587,0002596,0002616,0002625,0002652,0002658,0002691,0002713,0002717,0002734,0002743,0002775,0002809,0002883,0002887,0002929,0003001,0003004,0003013,0300001,0300011,0300019,0300021,0300041,0300048,0300055,0300070,0300075,0300105,0300107,0300137,0300140,0300152,0300157,0300187,0300197,0300210,0300212,0300213,0300255,0300259,0300263,0300275,0300284,0300287,0300296,0300332,0300334,0300335,0300344,0300349,0300353,0300365,0300368,0300371,0300374,0300407,0300422,0300428,0300446,0300491,0300500,0300556,0300579,0300621,0300649,0300662,0300675,0300732,0300767,0300807,0300823,0301091,0301103,0301151,0301197,1600008,1600029,1600061,1600089,1600100,1600135,1600149,1600155,1600170,1600221,1600230,1600231,1600246,1600266,1600268,1600339,1600340,1600376,1600405,1600463,1600476,1600477,1600480,1600482,1600496,1600502,1600533,1600550,1600578,1600606,1600617,1600629,1600717,1600722,1600739,1600751,1600756,1600764,1600776,1600787,1600795,1600803,1600812,1600820,1600846,1600871,1600874,1600963,1601000,1601226,1601326,1601633,1601669,1601766,1601992,1603019,1603050,1603060,1603097,1603098,1603106,1603126,1603138,1603153,1603176,1603357,1603359,1603385,1603569,1603616,1603717,1603881,1603903,1603955,1603969,1605303,1688066"
概念板块,粤港澳,880919,2014-07-25,2026-01-13,349,"0000002,0000006,0000007,0000009,0000011,0000014,0000017,0000020,0000025,0000027,0000029,0000031,0000032,0000036,0000037,0000039,0000042,0000048,0000055,0000061,0000062,0000063,0000066,0000068,0000070,0000078,0000088,0000089,0000090,0000096,0000099,0000429,0000507,0000513,0000523,0000524,0000529,0000531,0000532,0000533,0000539,0000573,0000608,0000636,0000659,0000685,0000828,0000829,0000833,0000838,0000881,0000893,0000973,0000987,0001201,0001202,0001209,0001212,0001221,0001283,0001287,0001309,0001313,0001322,0001326,0001339,0001366,0001378,0001386,0001389,0001872,0001979,0002005,0002016,0002017,0002035,0002042,0002045,0002047,0002055,0002060,0002063,0002076,0002101,0002130,0002137,0002139,0002141,0002180,0002181,0002183,0002187,0002192,0002197,0002210,0002213,0002215,0002218,0002233,0002249,0002285,0002291,0002301,0002314,0002317,0002334,0002355,0002369,0002388,0002400,0002402,0002416,0002419,0002420,0002421,0002429,0002431,0002436,0002446,0002461,0002465,0002475,0002482,0002492,0002518,0002537,0002543,0002544,0002575,0002577,0002579,0002583,0002584,0002587,0002609,0002616,0002654,0002660,0002663,0002672,0002678,0002681,0002683,0002717,0002724,0002732,0002733,0002745,0002757,0002769,0002774,0002775,0002789,0002791,0002792,0002809,0002815,0002822,0002833,0002845,0002853,0002856,0002869,0002875,0002882,0002885,0002888,0002892,0002902,0002906,0002908,0002909,0002911,0002916,0002917,0002922,0002930,0002953,0002957,0002965,0002972,0002986,0002989,0003010,0003012,0003013,0003037,0003039,0300004,0300042,0300047,0300131,0300134,0300146,0300147,0300173,0300176,0300197,0300199,0300219,0300232,0300241,0300252,0300281,0300284,0300303,0300319,0300335,0300340,0300348,0300350,0300359,0300377,0300410,0300454,0300457,0300468,0300476,0300484,0300499,0300506,0300514,0300531,0300533,0300546,0300564,0300572,0300589,0300591,0300599,0300619,0300620,0300621,0300634,0300638,0300675,0300687,0300713,0300720,0300723,0300731,0300735,0300738,0300739,0300752,0300804,0300815,0300824,0300833,0300834,0300844,0300852,0300854,0300917,0300921,0300942,0300949,0300976,0300989,0300997,0301011,0301038,0301043,0301067,0301091,0301112,0301128,0301191,0301223,0301248,0301288,0301291,0301305,0301312,0301319,0301323,0301332,0301365,0301377,0301387,0301449,0301458,0301479,0301486,0301503,0301528,0301590,0301603,0301618,0301631,0301632,0301638,0301658,0301662,1600004,1600098,1600110,1600162,1600185,1600323,1600325,1600380,1600383,1600428,1600518,1600525,1600548,1600568,1600629,1600684,1600685,1600728,1600868,1600872,1600894,1601228,1601333,1603063,1603160,1603322,1603348,1603390,1603515,1603535,1603608,1603797,1603863,1603920,1605090,1605499,1688045,1688049,1688112,1688173,1688216,1688312,1688548,1688589,1688622,1688627,1688655,1688683,1688775,1688793,2920045,2920124,2920267,2920807,2920892"
概念板块,ST板块,880516,2005-06-07,2026-01-13,176,"0000004,0000430,0000488,0000504,0000518,0000595,0000608,0000609,0000615,0000638,0000656,0000668,0000669,0000691,0000697,0000698,0000711,0000736,0000752,0000793,0000820,0000903,0000908,0000909,0000929,0000972,0001270,0002005,0002024,0002047,0002055,0002058,0002076,0002122,0002168,0002199,0002200,0002211,0002214,0002231,0002253,0002289,0002305,0002306,0002424,0002485,0002496,0002528,0002529,0002569,0002581,0002586,0002592,0002620,0002630,0002647,0002650,0002656,0002689,0002693,0002713,0002717,0002742,0002762,0002789,0002808,0002816,0002822,0002848,0002868,0002872,0002898,0003004,0003032,0300020,0300029,0300044,0300052,0300091,0300093,0300096,0300097,0300125,0300147,0300152,0300159,0300165,0300167,0300173,0300175,0300198,0300205,0300211,0300225,0300237,0300268,0300301,0300311,0300313,0300326,0300338,0300343,0300344,0300366,0300391,0300419,0300460,0300462,0300472,0300477,0300506,0300527,0300555,0300561,0300716,0300899,0301288,1600079,1600107,1600130,1600136,1600165,1600169,1600193,1600228,1600238,1600243,1600265,1600289,1600355,1600358,1600360,1600365,1600381,1600421,1600525,1600568,1600599,1600608,1600624,1600636,1600696,1600735,1600753,1600777,1600892,1603007,1603021,1603261,1603268,1603377,1603389,1603398,1603517,1603557,1603559,1603580,1603595,1603721,1603789,1603813,1603822,1603825,1603828,1603838,1603843,1603869,1605081,1605199,1688053,1688076,1688184,1688287,1688511,1688646,2920305"
概念板块,次新股,880529,2010-07-20,2026-01-06,112,"0001221,0001233,0001280,0001285,0001325,0001335,0001356,0001369,0001382,0001386,0001388,0001390,0001395,0001396,0001400,0301173,0301275,0301449,0301479,0301491,0301501,0301535,0301557,0301560,0301563,0301575,0301584,0301590,0301595,0301601,0301602,0301609,0301616,0301629,0301630,0301632,0301636,0301638,0301656,0301658,0301662,0301665,0301667,0301668,0301678,0301687,1600930,1601026,1603014,1603049,1603092,1603120,1603124,1603175,1603202,1603210,1603248,1603257,1603262,1603271,1603334,1603370,1603376,1603382,1603400,1603402,1603406,1603409,1603418,1688411,1688545,1688583,1688727,1688729,1688755,1688757,1688759,1688765,1688775,1688783,1688790,1688795,1688796,1688802,1688805,1688807,1688809,2920003,2920005,2920007,2920009,2920015,2920018,2920020,2920022,2920027,2920029,2920035,2920037,2920045,2920056,2920068,2920080,2920091,2920100,2920101,2920108,2920112,2920121,2920124,2920158,2920160"
概念板块,含H股,880501,2005-06-07,2026-01-12,172,"0000002,0000039,0000063,0000157,0000166,0000333,0000338,0000488,0000513,0000756,0000776,0000898,0000921,0001236,0001289,0002050,0002202,0002352,0002399,0002460,0002466,0002490,0002594,0002672,0002703,0002803,0002821,0002865,0002936,0002948,0003816,0300347,0300433,0300638,0300748,0300750,0300759,0300919,1600011,1600012,1600016,1600026,1600027,1600028,1600029,1600030,1600031,1600036,1600115,1600188,1600196,1600276,1600332,1600362,1600377,1600547,1600548,1600585,1600600,1600635,1600660,1600685,1600688,1600690,1600699,1600775,1600801,1600808,1600860,1600871,1600874,1600875,1600876,1600938,1600941,1600956,1600958,1600988,1600999,1601005,1601038,1601066,1601068,1601077,1601088,1601107,1601111,1601127,1601186,1601211,1601238,1601288,1601298,1601318,1601319,1601326,1601328,1601330,1601333,1601336,1601375,1601390,1601398,1601456,1601588,1601598,1601600,1601601,1601607,1601618,1601628,1601633,1601658,1601688,1601717,1601727,1601728,1601766,1601788,1601800,1601808,1601811,1601818,1601828,1601857,1601865,1601866,1601868,1601869,1601880,1601881,1601888,1601898,1601899,1601916,1601919,1601939,1601963,1601988,1601991,1601992,1601995,1601998,1603083,1603093,1603127,1603259,1603288,1603345,1603501,1603906,1603986,1603993,1605198,1688009,1688052,1688180,1688185,1688187,1688234,1688235,1688236,1688279,1688331,1688339,1688347,1688366,1688385,1688428,1688505,1688796,1688981"
